participant,LapLong,whichtalk,threeGR,Wcount,factualindex,conceptualindex,factualraw,conceptualraw,perfectfactindexscore,perfectconceptindexscore,perfectfactsscore,perfectconceptscore,filter_$,ZFindexA,ZCindexA,ZFrawA,ZCrawA,ZFindexW,ZCindexW,ZFrawW,ZCrawW
36,0,2,.087431694,167,2.3,1,5,2,5,5,14,6,1,-.94709462569914,-1.33566051208086,-.386694595618265,-1.45930984071711,-.358587766912289,-1.03143161746101,-.32479917717646,-.873107287422367
37,0,5,.263829787,449,2,2,5,5,7,3,9,6,1,-1.16924793587945,-.365627737943922,-.386694595618265,.696488787614987,-1.13936852204929,.0925579720669508,.337213701039529,1.04880884817015
38,0,1,.179723502,477,2.1666667,2.5,2,4,7,3,14,6,1,-1.04582940554002,.119388649124545,-1.54677838247306,-.0221107551623805,-1.28596042363681,.813723461015246,-2.07311702700312,0
39,0,1,.189873418,167,2.1666667,1,4,2,7,3,14,6,1,-1.04582940554002,-1.33566051208086,-.77338919123653,-1.45930984071711,-1.28596042363681,-1.81522925918786,-1.31925628991108,-1.80277563773199
40,1,2,.023622047,130,1.5,5,6,6,5,5,14,6,1,-1.53950345284663,2.54447058446688,6.8690758968562E-16,1.41508833039235,-1.20615885234134,1.30050073505954,.202999485735287,1.2888726623854
41,1,2,.070866142,128,2.3,5,5,6,5,5,14,6,1,-.94709462569914,2.54447058446688,-.386694595618265,1.41508833039235,-.358587766912289,1.30050073505954,-.32479917717646,1.2888726623854
42,1,1,.086956522,183,2.8333333,2.5,5,5,7,3,14,6,1,-.552155432284514,.119388649124545,-.386694595618265,.696488787614987,-.76787569001868,.813723461015246,-.942325921365057,.901387818865997
43,0,4,.168560606,519,2.5,3,5,5,6,4,12,7,1,-.798992418912267,.604405036193012,-.386694595618265,.696488787614987,-1.37238618825569,.717217745526686,-1.16602159331859,.475288885604705
45,0,3,.187919463,300,2.5,2.5,3,4,6,4,7,6,1,-.798992418912267,.119388649124545,-1.1600837868548,-.0221107551623805,-.758657236723891,-.379794820145239,-.890870806374748,-.457087050165032
46,0,3,.085324232,298,5,3.5,6,5,6,4,7,6,1,1.05228516592364,1.08942142326148,6.8690758968562E-16,.696488787614987,1.01154298229852,.949487050363095,.979957887012222,.609449400220045
47,1,2,.08,132,3.5,3.5,8,4,5,5,14,6,1,-.0584813849779047,1.08942142326148,.773389191236532,-.0221107551623805,.912768861231283,.426026102864331,1.25859681155878,.207882687481516
48,1,2,.113207547,59,2.4,.5,6,1,5,5,14,6,1,-.873043522305703,-1.82067689914932,6.8690758968562E-16,-2.17790938349448,-.252641381233658,-1.32292316152608,.202999485735287,-1.41360227487431
49,0,1,.012121212,159,2.6666667,1.5,6,3,7,3,14,6,1,-.675573888572839,-.850644125012389,6.8690758968562E-16,-.740710297939748,-.897396834566855,-.938911685786822,-.565395552819034,-.901387818865997
