ID,FAMID,IDSC,IDSEX,IDAB,IDFAMAB,IDFAMSEX,INELIG,ETHNIC,Z_SES_2,ED_DEG_F3,ED_YRS_F3,POLITIC_F3,AGE_F3,AUTH_TOT_F3,EGALIT_F3,GSS_SOC_F3,GSS_ECON_F3,RETRIB_F3,RELIG_F3,ICAR_F3,ED_DEG_M,ED_YRS_M,POLITIC_M,AGE_M_F3,AUTH_TOT_M,EGALIT_M,GSS_SOC_M,GSS_ECON_M,RETRIB_M,RELIG_M_F3,ICAR_M,RELIG_D_IN,ED_DEG_D,ED_YRS_D,POLITIC_D,AGE_D_F3,AUTH_TOT_D,EGALIT_D,GSS_SOC_D,GSS_ECON_D,RETRIB_D,RELIG_D_F3,ICAR_D,Composite_M,Composite_D,Composite
8375407,83754,7,2,1,1,3,NA,2,1.12,NA,NA,NA,NA,2.42,4.13,4.64,3.33,2.6,3,9,5,16,4,67.22,2.25,4.25,4,4.17,2.4,8,10,8,7,21,4,70.7,1.33,4.5,4.82,4.17,2.2,2,10,81.46749529,92.36757133,NA
8375905,83759,5,1,1,1,3,NA,2,0.26,5,16,3,36.46,3.25,3.25,3.55,3.67,3.4,20,7,4,15,2,66.3,3.33,1.75,1.91,2.17,4.2,29,12,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0065505,NA,46.07873663
8375907,83759,7,2,1,1,3,NA,2,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,15,2,66.3,3.33,1.75,1.91,2.17,4.2,29,12,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0065505,NA,NA
8376000,83760,0,1,2,2,1,NA,1,-0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8376002,83760,2,1,2,2,1,NA,1,-0.89,5,16,2,31.93,3.5,2.13,3,2.83,3.6,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.21911815
8376400,83764,0,1,2,2,1,NA,1,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8376402,83764,2,1,2,2,1,NA,1,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8377200,83772,0,1,2,2,1,NA,1,-1.9,4,14,4,36.39,3.42,2.63,3,2.83,3.4,26,12,2,12,3,58.47,3.67,2.88,2.27,3.17,2.8,22,1,21,2,12,3,59.92,3.58,3.38,2.45,3.17,3.6,25,3,37.79788336,36.77554925,36.41692273
8377202,83772,2,1,2,2,1,NA,1,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,3,58.47,3.67,2.88,2.27,3.17,2.8,22,1,21,2,12,3,59.92,3.58,3.38,2.45,3.17,3.6,25,3,37.79788336,36.77554925,NA
8379804,83798,4,1,2,2,3,NA,1,0.62,3,14,4,34.63,2.58,3.5,3.27,4.17,4.4,6,11,4,14,3,60.13,3.33,3.13,2.82,3.83,4,12,11,8,2,14,3,59.54,3.25,2.88,2.73,2.83,3,9,10,44.29139953,45.46854075,55.43611331
8379806,83798,6,2,2,2,3,NA,1,0.62,5,16,3,31.76,NA,NA,NA,NA,NA,NA,NA,4,14,3,60.13,3.33,3.13,2.82,3.83,4,12,11,8,2,14,3,59.54,3.25,2.88,2.73,2.83,3,9,10,44.29139953,45.46854075,NA
