id,egalit,politic,egalit_p,politic_p,egalit_p_code,politic_p_code,idsex,ethnic,age,idab,famid
8495707,3.63,4,3.44,4,c,c,male,Asian,31.99,adopted,84957
8495905,2.75,5,4.5,4,m,m,female,Asian,34.07,adopted,84959
8496500,4.13,4,3.5,4,c,c,female,White,34.26,biological,84965
8496502,4.63,4,3.5,4,c,c,female,White,31.71,biological,84965
8496700,4.88,5,4.5,1,m,m,female,White,33.93,biological,84967
8496702,4.63,5,4.5,1,m,m,female,White,32.12,biological,84967
8560501,3.13,2,2,1.5,c,c,male,Asian,32.91,adopted,85605
8560503,4,4,2,1.5,c,c,male,Asian,31.28,adopted,85605
8561101,3,3,3,2,m,m,male,Asian,32.6,adopted,85611
8561102,2,3,3,2,m,m,male,White,31.92,biological,85611
8561303,4.63,4,4.0649999999999995,5,c,c,male,Asian,29.25,adopted,85613
8564307,3,3,3.13,3,c,c,female,Asian,29.47,adopted,85643
8564905,4.75,5,4.0649999999999995,4,c,c,male,Asian,32.62,adopted,85649
8564907,4.5,5,4.0649999999999995,4,c,c,female,Asian,30.15,adopted,85649
8565305,4.88,4,3.88,4,f,f,male,Asian,32.83,adopted,85653
8565907,4.13,5,4.3149999999999995,4,c,c,female,Asian,31.02,adopted,85659
8566102,4.38,4,4.75,4.5,c,c,male,White,31.14,biological,85661
8569906,2.13,1,2.13,3,m,m,female,White,29.91,biological,85699
8570201,2.38,3,3.38,3,f,f,male,Mixed,32.66,adopted,85702
8570203,3.75,3,3.38,3,f,f,male,Asian,32.3,adopted,85702
8570501,2.88,3,2.25,2,f,f,male,Asian,32.62,adopted,85705
8574305,2.75,1,2.815,2,c,c,male,Asian,34.11,adopted,85743
8575007,2.88,2,2.13,2,f,f,female,White,31.67,adopted,85750
8575805,4.38,4,3.13,2,f,f,male,Asian,33.59,adopted,85758
8579504,4.38,3,2.88,2,c,c,male,White,33.24,biological,85795
8579804,2,1,2.25,2,m,m,male,White,33.28,biological,85798
8579806,1.88,2,2.25,2,m,m,female,White,31.34,biological,85798
8580101,4.75,4,4.125,4.5,c,c,female,Asian,32.77,adopted,85801
8580102,4,4,4.125,4.5,c,c,female,White,29.84,biological,85801
8580201,4.88,5,4.6899999999999995,5,c,c,female,Asian,32.53,adopted,85802
8580203,4.63,4,4.6899999999999995,5,c,c,female,Asian,29.84,adopted,85802
8580701,1.88,1,2.63,2.5,c,c,female,Asian,32.66,adopted,85807
8580703,2.88,2,2.63,2.5,c,c,female,Asian,29.39,adopted,85807
8580801,4.38,5,3,2,m,m,female,Asian,33.2,adopted,85808
8581800,4.13,4,2.94,3.5,c,c,female,White,32.58,biological,85818
8581803,3.25,3,2.94,3.5,c,c,female,Asian,29.98,adopted,85818
8585407,5,5,4.8149999999999995,4.5,c,c,male,Asian,30.89,adopted,85854
8585905,3.75,4,3,2.5,c,c,female,Asian,33.01,adopted,85859
8586400,4.13,3,3.5,2,m,m,female,Black,32.66,biological,85864
8586402,3.63,3,3.5,2,m,m,female,Black,30.88,biological,85864
8590701,1.88,2,2.625,1.5,c,c,female,Asian,32.52,adopted,85907
8590902,2.63,2,2.44,1,c,c,female,White,31.36,biological,85909
8591001,5,5,3.94,4,c,c,female,Asian,32.75,adopted,85910
8591301,3.25,3,4.255,5,c,c,female,Asian,33.32,adopted,85913
8591303,4.25,5,4.255,5,c,c,female,Asian,30.84,adopted,85913
8591401,3.38,4,3.88,5,m,m,female,White,34.09,adopted,85914
8595605,4.25,4,3.5,3,f,f,female,Asian,33.06,adopted,85956
8595607,2.88,2,3.5,3,f,f,male,Asian,31.67,adopted,85956
8595805,4.88,5,4.1899999999999995,3.5,c,c,female,Asian,33.28,adopted,85958
8595905,3.88,4,3.625,3,c,c,female,Asian,32.89,adopted,85959
8595907,4.5,4,3.625,3,c,c,male,Asian,29.54,adopted,85959
8596000,3.38,3,4,5,m,m,female,White,33.45,biological,85960
8596002,4.75,5,4,5,m,m,female,White,30.97,biological,85960
8596300,2.38,2,3.5,2,m,m,female,White,32.91,biological,85963
8596302,3.5,4,3.5,2,m,m,female,White,30.76,biological,85963
8660303,4,4,4,4,m,m,male,Mixed,28.08,adopted,86603
8660601,2.38,2,3.625,4,c,c,male,White,31.79,adopted,86606
8660603,3.5,4,3.625,4,c,c,male,White,28.53,adopted,86606
8664405,2.38,3,2.565,3.5,c,c,male,Asian,32.51,adopted,86644
8664407,3.88,4,2.565,3.5,c,c,female,Hispanic,27.75,adopted,86644
8664607,3,3,3.315,3,c,c,female,White,29.26,adopted,86646
8664805,3.88,2,2.94,2.5,c,c,male,Asian,31.76,adopted,86648
8664807,4.63,5,2.94,2.5,c,c,female,Other,28.39,adopted,86648
8665205,3.5,4,4.13,4.5,c,c,male,Asian,31.82,adopted,86652
8665207,4.38,5,4.13,4.5,c,c,female,Asian,30.11,adopted,86652
8665307,3.63,3,3.63,2.5,c,c,female,Asian,29.5,adopted,86653
8665607,4.5,5,3.94,4,c,c,female,Asian,28.47,adopted,86656
8665707,4.13,5,3.375,4,c,c,female,Asian,30.42,adopted,86657
8665805,4.25,3,3.625,3,c,c,male,East Indian,32.37,adopted,86658
8665806,3.13,4,3.625,3,c,c,female,White,29.51,biological,86658
8669604,4.88,5,3.75,5,m,m,male,White,32.06,biological,86696
8669606,3.38,4,3.75,5,m,m,female,White,29.87,biological,86696
8669706,3.88,3,2.94,3,c,c,female,White,29.47,biological,86697
8669906,2.38,2,2.315,2,c,c,female,White,29.58,biological,86699
8670203,3.75,4,4.38,4,f,f,male,Asian,31.17,adopted,86702
8670401,3.13,2,3.13,4,m,m,male,Asian,32.04,adopted,86704
8670603,4,4,4.1899999999999995,4,c,c,male,Asian,29.09,adopted,86706
8671001,3.75,4,3.63,3.5,c,c,male,Asian,32.64,adopted,86710
8671002,3.75,4,3.63,3.5,c,c,male,White,31.02,biological,86710
8671603,2.88,2,4.0649999999999995,4,c,c,male,White,30.3,adopted,86716
8674805,3,2,2.755,2,c,c,male,White,31.98,adopted,86748
8674807,3,2,2.755,2,c,c,female,White,28.48,adopted,86748
8674907,4.38,4,3.13,2,c,c,female,Black,29.49,adopted,86749
8675107,3.38,4,3.13,3,m,m,female,Asian,30.16,adopted,86751
8675305,4.75,5,3.38,3,m,m,male,White,32.11,adopted,86753
8675307,2.5,4,3.38,3,m,m,female,Asian,29.44,adopted,86753
8679304,4.13,4,4.5,4.5,c,c,male,White,32.24,biological,86793
8679306,4.75,4,4.5,4.5,c,c,female,White,31.19,biological,86793
8679406,3.13,3,3,3,m,m,female,White,29.56,biological,86794
8679504,4.13,5,3.75,3,c,c,male,White,32.04,biological,86795
8679506,3.5,2,3.75,3,c,c,female,White,30.25,biological,86795
8679706,2.25,3,2.5,2,m,m,female,White,29.33,biological,86797
8680601,4.13,5,4.25,4,m,m,female,Asian,31.11,adopted,86806
8680801,3.5,3,4,5,m,m,female,Asian,33.12,adopted,86808
8680803,3.5,4,4,5,m,m,female,Asian,29.61,adopted,86808
8681202,3.25,3,3.065,1.5,c,c,female,White,28.38,biological,86812
8681300,4.63,4,3.315,4.5,c,c,female,White,32.45,biological,86813
8685205,3.25,3,3.005,3,c,c,female,White,32.74,adopted,86852
8685207,3.13,3,3.005,3,c,c,male,White,29.14,adopted,86852
8685505,4.25,5,3.75,4,m,m,female,Asian,31.64,adopted,86855
8686200,2.63,2,2.505,2,c,c,female,White,31.78,biological,86862
8686202,3.13,2,2.505,2,c,c,female,White,29.99,biological,86862
8690101,4.88,4,4.75,4,m,m,female,Asian,32.31,adopted,86901
8690201,4,3,2.75,2,f,f,female,White,32.79,adopted,86902
8690202,3.63,4,2.75,2,f,f,female,White,30.06,biological,86902
8690401,3.88,3,4.1899999999999995,4,c,c,female,Asian,31.94,adopted,86904
8690701,3.75,4,2.94,3,c,c,female,Asian,31.9,adopted,86907
8690702,4.13,5,2.94,3,c,c,female,White,28.26,biological,86907
8691001,4.38,5,3.25,3,c,f,female,Asian,32.47,adopted,86910
8691003,4.38,5,3.25,3,c,f,female,Asian,30.25,adopted,86910
8695004,4.38,5,3.75,4,m,m,female,White,31.98,biological,86950
8695405,3.88,4,4.3149999999999995,4,c,c,female,Asian,32.14,adopted,86954
8695507,3,4,3.065,2.5,c,c,male,Asian,30.61,adopted,86955
8695905,4.25,4,3.25,2,m,m,female,Asian,32.31,adopted,86959
8696000,3.13,4,2.38,2.5,m,c,female,White,32.59,biological,86960
8696002,3.63,4,2.38,2.5,m,c,female,White,31.61,biological,86960
8760101,3.88,3,3.75,4,m,m,male,Asian,30.89,adopted,87601
8760102,3.25,3,3.75,4,m,m,male,White,30.09,biological,87601
8760301,3.25,3,2.505,2.5,c,c,male,Asian,31.46,adopted,87603
8760801,3.25,4,2.25,4,m,m,male,Asian,30.62,adopted,87608
8760802,2.13,3,2.25,4,m,m,male,White,28.86,biological,87608
8764905,2.63,2,3.63,4,m,m,male,Asian,31.73,adopted,87649
8764906,4.13,4,3.63,4,m,m,female,White,29.93,biological,87649
8765005,3.63,3,2.63,2,m,m,male,White,30.69,adopted,87650
8765007,4.63,4,2.63,2,m,m,female,White,29.24,adopted,87650
8765407,3.88,3,3.88,2,m,m,female,Asian,28.5,adopted,87654
8765905,3.75,4,4.4399999999999995,5,c,c,male,Hispanic,31.69,adopted,87659
8766100,3.25,2,2.875,2,c,c,male,White,31.2,biological,87661
8770201,4.63,4,3.63,4,c,c,male,White,31.51,adopted,87702
8770202,4.25,4,3.63,4,c,c,male,White,30.55,biological,87702
8770502,3.63,4,3.815,4,c,c,male,White,29.39,biological,87705
8774706,4.25,4,4,4,f,f,female,White,27.45,biological,87747
8774905,3,3,3.13,3,f,f,male,White,31.54,adopted,87749
8774907,3,4,3.13,3,f,f,female,White,27.43,adopted,87749
8775007,3.25,4,1.88,2.5,c,c,female,Asian,29.5,adopted,87750
8775406,4.75,5,4.25,4,m,m,female,White,27.1,biological,87754
8775707,4.38,4,3.63,4.5,c,c,female,Asian,28.06,adopted,87757
8775806,3.88,4,4.375,4.5,c,c,female,White,30.8,biological,87758
8779806,3.63,4,2.88,2,m,m,female,White,28.76,biological,87798
8780101,3.75,3,3.25,4,m,m,female,Asian,32.58,adopted,87801
8780501,5,5,4.63,4,m,m,female,Asian,30.89,adopted,87805
8780503,4.13,4,4.63,4,m,m,female,Asian,26.94,adopted,87805
8780801,3.38,2,2.25,1,f,f,female,Asian,31.77,adopted,87808
8780803,3.38,3,2.25,1,f,f,female,Asian,27.38,adopted,87808
8780901,4,4,4.0649999999999995,4,c,c,female,White,31.46,adopted,87809
8781101,3.38,3,3.505,3,c,c,female,Asian,30.79,adopted,87811
8781103,3.25,4,3.505,3,c,c,female,Asian,28.12,adopted,87811
8785105,4.38,5,3.63,4,m,m,female,Asian,31.17,adopted,87851
8785107,4.38,5,3.63,4,m,m,male,Asian,27.38,adopted,87851
8785305,5,5,3.69,3,c,c,female,Asian,31.45,adopted,87853
8785307,4.5,4,3.69,3,c,c,male,Asian,29.71,adopted,87853
8785605,4,2,2.94,2,c,c,female,Asian,31.78,adopted,87856
8785607,2.38,3,2.94,2,c,c,male,Asian,28.62,adopted,87856
8785805,4.13,5,4.25,4.5,c,c,female,Asian,31.15,adopted,87858
8786202,3.88,4,4,4,m,m,female,White,29.28,biological,87862
8788604,2.75,3,3.63,3,f,f,female,White,31.59,biological,87886
8788606,1.5,2,3.63,3,f,f,male,White,29.06,biological,87886
8789104,3.25,3,3.005,2,c,c,female,White,30.75,biological,87891
8789106,3.5,3,3.005,2,c,c,male,White,29.52,biological,87891
8789506,1.75,2,2.315,2.5,c,c,male,Mixed,30.36,biological,87895
8789804,3.75,3,3.44,3,c,c,female,White,31.67,biological,87898
8789806,4.75,2,3.44,3,c,c,male,White,29.23,biological,87898
8789904,3.63,4,3.63,3,m,m,female,White,31.78,biological,87899
8789906,3.88,4,3.63,3,m,m,male,White,29.29,biological,87899
8790303,3.5,4,3.565,4,c,c,female,Asian,29.41,adopted,87903
8790601,3.38,3,3.63,2,f,f,female,White,31.16,adopted,87906
8790602,3.88,4,3.63,2,f,f,female,White,30.29,biological,87906
8795305,5,5,3.88,4,m,m,female,Mixed,31.22,adopted,87953
8799304,3.38,4,3.255,4,c,c,female,White,31.42,biological,87993
8799306,5,4,3.255,4,c,c,male,White,29.33,biological,87993
8799604,4.25,4,4,5,c,c,female,White,30.82,biological,87996
8799606,4.38,4,4,5,c,c,male,White,28.86,biological,87996
8799704,3,4,4.63,4,m,m,female,White,31.64,biological,87997
8860201,3.38,3,3.38,2.5,c,c,male,White,31.34,adopted,88602
8860402,2.88,3,3.5,4,m,m,male,White,29.08,biological,88604
8860601,4.75,4,4.1899999999999995,4.5,c,c,male,Asian,30.07,adopted,88606
8860703,4.88,5,3.75,4,m,m,male,Asian,26.94,adopted,88607
8860903,3,3,3.44,3.5,c,c,male,White,27.52,adopted,88609
8861101,3,3,2.63,1,m,m,male,White,30.99,adopted,88611
8861103,4,4,2.63,1,m,m,male,White,27.99,adopted,88611
8865305,3.13,4,4.0649999999999995,4,c,c,male,Asian,30.52,adopted,88653
8865905,3.75,2,2.63,2,m,m,male,Asian,30.79,adopted,88659
8865906,3,3,2.63,2,m,m,female,White,30.11,biological,88659
8866100,2.88,3,2.565,2,c,c,male,White,30.34,biological,88661
8866102,2.63,2,2.565,2,c,c,male,White,28.93,biological,88661
8866402,2.5,2,3.13,4,m,m,male,White,29.29,biological,88664
8870102,2.88,3,3.755,3,c,c,male,White,28.58,biological,88701
8870302,5,5,4.1899999999999995,4,c,c,male,White,28.46,biological,88703
8875505,3.88,5,3.88,4,f,f,male,Asian,31.12,adopted,88755
8875907,4.5,4,3.75,4,c,c,female,Asian,27.81,adopted,88759
8876202,2.25,2,2.13,1,m,m,male,White,29.89,biological,88762
8879504,3.75,4,3.63,4,m,m,male,White,31.08,biological,88795
8879506,4.75,5,3.63,4,m,m,female,White,27.48,biological,88795
8880501,4.38,5,3.75,3,c,c,female,White,30.22,adopted,88805
8880502,3.63,4,3.75,3,c,c,female,White,26.92,biological,88805
8880801,2.5,2,2.88,3,c,c,female,Asian,30.47,adopted,88808
8880803,3,2,2.88,3,c,c,female,Asian,27.53,adopted,88808
8885705,4.5,4,2.88,3,c,c,female,South American,30.51,adopted,88857
8885707,4.13,2,2.88,3,c,c,male,South American,28.99,adopted,88857
8886402,3.5,4,2.75,2,c,c,female,White,28.88,biological,88864
8889106,3.75,5,4.75,4,m,m,male,White,28.23,biological,88891
8889604,3.5,4,2.5,3,m,m,female,White,30.02,biological,88896
8889606,1.5,2,2.5,3,m,m,male,White,28.96,biological,88896
8889804,3.88,4,3.69,3,c,c,female,Mixed,30.78,biological,88898
8889806,3.25,4,3.69,3,c,c,male,Mixed,28.04,biological,88898
8890601,2.88,3,3.38,3,m,m,female,White,30.54,adopted,88906
8890603,4,4,3.38,3,m,m,female,White,26.94,adopted,88906
8895505,3.63,5,4.13,4,m,m,female,Hispanic,30.93,adopted,88955
8896000,4.63,5,4.005,4.5,c,c,female,White,30.97,biological,88960
8896002,4.63,5,4.005,4.5,c,c,female,White,28.78,biological,88960
8896300,3.63,4,2.38,1,m,m,female,White,30.24,biological,88963
8896302,3.75,3,2.38,1,m,m,female,White,27.71,biological,88963
8899204,2.75,3,2.75,3,m,m,female,White,30.41,biological,88992
8899206,4.5,3,2.75,3,m,m,male,White,28.45,biological,88992
8899406,3.38,4,3.44,4,c,c,male,White,29.12,biological,88994
8899604,2.63,3,3.25,3,m,m,female,White,31.09,biological,88996
8899606,2.63,3,3.25,3,m,m,male,White,30.05,biological,88996
8899704,3,3,2.755,2,c,c,female,White,30.74,biological,88997
8960102,2.63,2,2.25,2,m,m,male,White,26.9,biological,89601
8965907,3.5,3,3.13,2,f,f,female,Black,28.88,adopted,89659
8966102,2.75,3,2.565,2,c,c,male,White,28.7,biological,89661
8966202,2.88,3,4.25,4,m,m,male,White,27.93,biological,89662
8966700,3.88,4,3.75,2,m,m,male,White,29.15,biological,89667
8975907,4.5,3,4.88,5,c,c,female,Asian,25.66,adopted,89759
8980303,4.75,5,3.38,4,m,m,female,Asian,28.27,adopted,89803
8980501,3.75,5,4,4.5,c,c,female,Asian,29.42,adopted,89805
8980502,4.88,5,4,4.5,c,c,female,White,28.36,biological,89805
8985705,3.88,4,3.38,2,f,f,female,Mixed,29.58,adopted,89857
8985707,2.25,2,3.38,2,f,f,male,Mixed,28.65,adopted,89857
8985805,3.75,4,3.315,4,c,c,female,White,30.52,adopted,89858
8985905,4.13,5,2.5,2,m,m,female,Hispanic,30.17,adopted,89859
8985907,2.63,2,2.5,2,m,m,male,Hispanic,27.18,adopted,89859
8989604,4,5,3.63,4,f,f,female,White,30.08,biological,89896
8989606,4.38,3,3.63,4,f,f,male,White,27.42,biological,89896
8989904,4.25,5,3.5,2,m,m,female,White,29.62,biological,89899
8989906,2.75,2,3.5,2,m,m,male,White,27.23,biological,89899
8990302,4.63,5,4.38,5,c,c,female,White,26.76,biological,89903
8995705,4,5,3.94,3.5,c,c,female,Asian,29.52,adopted,89957
8995707,3.63,3,3.94,3.5,c,c,male,Asian,26.98,adopted,89957
8996100,2.25,2,1.875,2,c,c,female,White,29.16,biological,89961
8996102,3.38,4,1.875,2,c,c,female,White,27.24,biological,89961
8999604,3.75,4,3.69,4.5,c,c,female,White,28.99,biological,89996
8999606,4.13,4,3.69,4.5,c,c,male,White,27.34,biological,89996
9060401,3.5,2,2.75,2,m,m,male,White,28.28,adopted,90604
9060403,3.13,3,2.75,2,m,m,male,Mixed,26.04,adopted,90604
9089904,3.88,4,2.375,1.5,c,c,female,White,28.25,biological,90899
9089906,3.75,4,2.375,1.5,c,c,male,White,26.48,biological,90899
9095905,2.5,2,3,3,m,m,female,Black,28.44,adopted,90959
9095907,2.75,3,3,3,m,m,male,Black,27.25,adopted,90959
