id,egalit,politic,relig,icar,egalit_p,politic_p,relig_p,icar_p,egalit_p_code,politic_p_code,relig_p_code,icar_p_code,idsex,ethnic,age,idab,famid
7880101,3.88,4,6,5,4.25,4,26,8,m,m,m,m,female,Asian,40.28,adopted,78801
7880103,4.63,4,23,6,4.25,4,26,8,m,m,m,m,female,Asian,38.52,adopted,78801
7890101,1.75,2,23,11,2.75,2,28,7,m,c,m,m,female,Asian,39.42,adopted,78901
7890103,2.13,2,15,13,2.75,2,28,7,m,c,m,m,female,Asian,36.6,adopted,78901
7980201,3.38,2,3,11,4.1899999999999995,3.5,10.5,12,c,c,c,c,female,Asian,38.82,adopted,79802
7980301,4.13,4,19,9,3.88,5,1,10,f,f,f,f,female,Asian,38.52,adopted,79803
7990101,2.75,3,3,3,3.815,4,9.5,9,c,c,c,c,female,Hispanic,38.87,adopted,79901
8066102,2.13,2,18,15,3.5,3,13,0,m,m,m,m,male,White,33.8,biological,80661
8080301,4,4,5,13,2.875,3.5,5,8.5,c,c,c,c,female,Asian,37.54,adopted,80803
8080303,3.75,4,1,10,2.875,3.5,5,8.5,c,c,c,c,female,Asian,35.54,adopted,80803
8160200,2.75,2,15,12,3.5,4,30,10,c,c,c,c,male,White,36.77,biological,81602
8160203,4.13,4,7,4,3.5,4,30,10,c,c,c,c,male,Asian,34.01,adopted,81602
8175707,4.88,4,2,13,4.0649999999999995,4,19.5,11,c,c,c,c,female,Asian,34.8,adopted,81757
8175905,3.63,3,4,9,3.25,4,23,11,m,m,m,m,male,White,37,adopted,81759
8175907,3,1,13,11,3.25,4,23,11,m,m,m,m,female,Asian,34.54,adopted,81759
8176002,3.88,3,15,15,2.5,4,24,2,m,m,m,m,male,White,35.47,biological,81760
8180101,3.25,4,16,4,3.25,3,33,9,m,m,m,m,female,Asian,36.46,adopted,81801
8180103,3.75,4,8,11,3.25,3,33,9,m,m,m,m,female,Asian,34.53,adopted,81801
8180201,3.25,3,5,13,4,4.5,5,11,c,c,c,c,female,Asian,36.79,adopted,81802
8180301,4.88,5,14,10,4.38,4,28,3,m,m,m,m,female,White,38.02,adopted,81803
8180303,3.5,3,6,7,4.38,4,28,3,m,m,m,m,female,White,33.1,adopted,81803
8180601,3.63,4,18,3,4.5,3.5,13.5,4,c,c,c,c,female,Asian,37.68,adopted,81806
8180603,3.5,4,6,7,4.5,3.5,13.5,4,c,c,c,c,female,Asian,35.14,adopted,81806
8180701,3.75,5,3,7,3.63,4,6,12,m,m,m,m,female,Asian,37.06,adopted,81807
8180703,4.13,5,1,13,3.63,4,6,12,m,m,m,m,female,Asian,35.84,adopted,81807
8190203,3,4,4,6,2.88,2,29,8,m,m,m,m,female,Asian,34.44,adopted,81902
8190401,3.38,4,9,15,4.0649999999999995,4.5,20.5,7,c,c,c,c,female,Asian,36.6,adopted,81904
8190603,2.25,2,13,5,3.065,1.5,26,10,c,c,f,f,female,Mixed,34.66,adopted,81906
8190700,3.75,3,9,4,2.86,3,13,5,m,m,m,m,female,White,36.71,biological,81907
8190703,2.63,2,19,8,2.86,3,13,5,m,m,m,m,female,Asian,33.54,adopted,81907
8196300,3.38,3,11,10,3.75,4,22,9,m,m,m,m,female,White,36.38,biological,81963
8196302,3.88,4,5,11,3.75,4,22,9,m,m,m,m,female,White,35.11,biological,81963
8196400,2.38,2,17,9,4.13,4,27,7,m,m,m,m,female,White,37.42,biological,81964
8196402,3.75,3,24,11,4.13,4,27,7,m,m,m,m,female,White,34.31,biological,81964
8196702,2.88,2,28,4,2.815,1.5,28.5,7,c,c,c,c,female,White,33.81,biological,81967
8260501,2.88,3,23,14,2.755,1.5,27.5,8,c,c,c,c,male,White,35.77,adopted,82605
8265807,4.5,4,8,4,4.3149999999999995,4,12.5,10,c,c,c,c,female,Hispanic,35.68,adopted,82658
8265907,4.25,4,0,13,2.44,2,20.5,10,c,c,c,c,female,Asian,34.51,adopted,82659
8266102,2.25,3,32,16,2.375,2,32,11.5,c,c,c,c,male,White,34.99,biological,82661
8266800,4.25,5,3,15,4.13,4,25,11,m,m,m,m,male,White,36.19,biological,82668
8266802,2.63,4,13,11,4.13,4,25,11,m,m,m,m,male,White,33.98,biological,82668
8270203,2.63,4,2,16,4.0649999999999995,4.5,22,11,c,c,c,c,male,Mixed,32.8,adopted,82702
